seat,BAKSAL,BJP,CPB,Ganatantri Party,Islami Oikya Jote,JP (Manju),JSD (Rab),JSD (Siraj),JaPa,Jamaat,Krishak Sramik Janata League,LDP,NAP (Muzaffar),NDP,Workers Party,total,party
Bagerhat-4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Barguna-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Islami Oikya Jote
Barisal-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"JaPa, Workers Party"
Barisal-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Barisal-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Bhola-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BJP
Bogra-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Brahmanbaria-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Brahmanbaria-2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,"Islami Oikya Jote, JaPa"
Brahmanbaria-5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"BJP, JaPa"
Chapai Nawabganj-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Chittagong-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,LDP
Chittagong-14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Jamaat
Chittagong-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Chittagong-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Chittagong-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NDP
Chittagong-7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,"CPB, JSD (Rab)"
Chuadanga-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Comilla-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Comilla-9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Cox's Bazar-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Cox's Bazar-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"BAKSAL, Jamaat"
Dhaka-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Dhaka-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Workers Party
Dinajpur-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Dinajpur-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Dinajpur-6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Gaibandha-1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,"JaPa, Jamaat"
Gaibandha-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Gaibandha-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Gaibandha-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Gaibandha-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Habiganj-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Habiganj-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Jessore-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Jessore-4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BJP
Jessore-6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Jhalokati-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Jhalokati-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Khulna-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Khulna-6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Kishoreganj-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Kurigram-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Kurigram-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Kurigram-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Kurigram-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Kushtia-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,JSD (Rab)
Lakshmipur-4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,JSD (Rab)
Lalmonirhat-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Lalmonirhat-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Lalmonirhat-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Madaripur-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Manikganj-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Moulvibazar-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Moulvibazar-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Mymensingh-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Mymensingh-8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Naogaon-4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Narayanganj-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Natore-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Natore-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Nilphamari-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Nilphamari-2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,"CPB, JaPa"
Nilphamari-3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,"JaPa, Jamaat"
Nilphamari-4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,"JaPa, NAP (Muzaffar)"
Noakhali-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Pabna-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Pabna-5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Panchagarh-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Pirojpur-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Pirojpur-2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,"JP (Manju), JaPa"
Pirojpur-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"BAKSAL, JaPa"
Rajbari-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Rajshahi-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Workers Party
Rajshahi-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Rangpur-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Satkhira-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Satkhira-2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,"JaPa, Jamaat"
Satkhira-3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Satkhira-4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,"BJP, JaPa"
Shariatpur-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Sherpur-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Sunamganj-2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,"Ganatantri Party, JaPa"
Sunamganj-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Sylhet-5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"Islami Oikya Jote, Jamaat"
Sylhet-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Tangail-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,JSD (Siraj)
Tangail-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Tangail-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Krishak Sramik Janata League
Thakurgaon-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Thakurgaon-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
